S.NO,College Name,Courses,City,District,State,Phone No
36,Kakatiya University,"M.A, M.Sc, M.Com, MBA",Khammam,Khammam,Telangana,8742324004
37,Government Degree College,"M.A, M.Sc, M.Com",Khammam,Khammam,Telangana,8742325056
38,Sri Venkateshwara Degree College,"M.Com, MBA, M.Sc",Khammam,Khammam,Telangana,8742321056
39,Vignan Degree College,"MBA, M.Sc",Khammam,Khammam,Telangana,8742328008
40,Mother Teresa Institute of Science,"M.Sc, M.A",Khammam,Khammam,Telangana,8742329011
41,Kakatiya University,"M.A, M.Sc, M.Com, MBA",Nizamabad,Nizamabad,Telangana,8462901000
42,Government Degree College,"M.A, M.Sc, M.Com",Nizamabad,Nizamabad,Telangana,8462925567
43,Vignan Degree College,"MBA, M.Sc",Nizamabad,Nizamabad,Telangana,8462912345
44,Sreenidhi Institute of Technology,"M.Tech, MBA",Nizamabad,Nizamabad,Telangana,8462921234
45,St. Xavier's College,"MBA, M.Sc",Nizamabad,Nizamabad,Telangana,8462909876
46,Jawaharlal Nehru Technological University (JNTU),"M.Tech, M.Sc, MBA",Medak,Medak,Telangana,8452365400
47,Government Degree College,"M.A, M.Sc, M.Com",Medak,Medak,Telangana,8452365123
48,St. Mary's Degree College,"MBA, M.Sc",Medak,Medak,Telangana,8452365234
49,Deccan College of Engineering,M.Tech,Medak,Medak,Telangana,8452366345
50,Vagdevi Degree College,"MBA, M.Com",Medak,Medak,Telangana,8452364456
51,Osmania University,"M.A, M.Sc, M.Tech, MBA, M.Com",Hyderabad,Hyderabad,Telangana,40-27098011
52,University of Hyderabad,"M.Sc, M.Tech, M.A, MBA, M.Com",Hyderabad,Hyderabad,Telangana,40-23110000
53,JNTU Hyderabad,"M.Tech, M.Sc, MBA",Hyderabad,Hyderabad,Telangana,40-23158661
54,NALSAR University of Law,"LLM, Ph.D.",Hyderabad,Hyderabad,Telangana,40-23498100
55,ICFAI Business School,"MBA, M.Sc",Hyderabad,Hyderabad,Telangana,40-23435131
56,Kakatiya University,"M.A, M.Sc, M.Com, MBA",Warangal,Warangal,Telangana,8702439491
57,JNTU College of Engineering,"M.Tech, M.Sc",Warangal,Warangal,Telangana,8702430200
58,Maturi Venkata Subba Rao (MVSR) Engineering College,"M.Tech, M.Sc",Warangal,Warangal,Telangana,8702434356
59,Sreenidhi Institute of Science and Technology,"M.Tech, MBA",Warangal,Warangal,Telangana,8702435432
60,National Institute of Technology (NIT),"M.Tech, M.Sc",Warangal,Warangal,Telangana,8702458010
61,Osmania University,"M.A, M.Sc, M.Tech, MBA, M.Com",Hyderabad,Hyderabad,Telangana,40-27098011
62,University of Hyderabad,"M.Sc, M.Tech, M.A, MBA, M.Com",Hyderabad,Hyderabad,Telangana,40-23110000
63,JNTU Hyderabad,"M.Tech, M.Sc, MBA",Hyderabad,Hyderabad,Telangana,40-23158661
64,NALSAR University of Law,"LLM, Ph.D.",Hyderabad,Hyderabad,Telangana,40-23498100
65,ICFAI Business School,"MBA, M.Sc",Hyderabad,Hyderabad,Telangana,40-23435131
66,Kakatiya University,"M.A, M.Sc, M.Com, MBA",Warangal,Warangal,Telangana,8702439491
67,JNTU College of Engineering,"M.Tech, M.Sc",Warangal,Warangal,Telangana,8702430200
68,Maturi Venkata Subba Rao (MVSR) Engineering College,"M.Tech, M.Sc",Warangal,Warangal,Telangana,8702434356
69,Sreenidhi Institute of Science and Technology,"M.Tech, MBA",Warangal,Warangal,Telangana,8702435432
70,National Institute of Technology (NIT),"M.Tech, M.Sc",Warangal,Warangal,Telangana,8702458010
