S.No,College Name,Address,City,District,State,Email,Phone No,,
26,KMIT Engineering College,Hyderabad,Medchal-Malkajgiri,Telangana,kmit@kmit.ac.in,040-24243135,,,
27,Eswar College of Engineering,Nellore,Nellore,Andhra Pradesh,eswar@ece.ac.in,0861-2322145,,,
28,University College of Engineering,JNTU,Hyderabad,Telangana,uce@jntuh.ac.in,040-23156789,,,
29,International School of Engineering,Kukatpally,Hyderabad,Telangana,info@iseforum.com,040-23156999,,,
30,Rajiv Gandhi University of Knowledge Technologies,Adilabad,Telangana,info@rgukt.ac.in,08752-255344,,,,
31,University College of Engineering,Kukatpally,Hyderabad,Hyderabad,Telangana,uce@jntuh.ac.in,040-23156789,,
32,Jawaharlal Nehru Technological University,Hyderabad,Hyderabad,Hyderabad,Telangana,jntuh@jntuh.ac.in,040-23012100,,
33,Malla Reddy Institute of Technology & Science,Maisammaguda,Medchal-Malkajgiri,Hyderabad,Medchal-Malkajgiri,Telangana,info@mrits.ac.in,040-64634234,
34,VNR Vignana Jyothi Institute of Engineering & Technology,Bachupally,Hyderabad,Medchal-Malkajgiri,Telangana,info@vnrvjiet.ac.in,040-23042758,,
35,Chaitanya Bharathi Institute of Technology,Malkajgiri,Hyderabad,Medchal-Malkajgiri,Telangana,cbitec@cbitec.ac.in,040-64634444,,
36,Anurag Group of Institutions,Hyderabad,Medchal-Malkajgiri,Telangana,info@anurag.edu.in,040-23030899,,,
37,Sri Venkateshwara University College of Engineering,Kukkatpally,Hyderabad,Hyderabad,Telangana,svce@svuce.edu.in,040-23153110,,
38,St. Mary's Engineering College,Deshmukhi,Rangareddy,Telangana,info@stmarys.ac.in,08413-202536,,,
39,Chalapathi Institute of Engineering & Technology,Guntur,Guntur,Andhra Pradesh,chalapathi@cie.ac.in,0863-2284466,,,
40,Osmania University College of Engineering,Hyderabad,Hyderabad,Hyderabad,Telangana,ouce@osmania.ac.in,040-27098010,,
41,NIT Warangal,Warangal,Warangal,Telangana,admissions@nitw.ac.in,0870-2462000,,,
42,Kakatiya Institute of Technology & Science,Warangal,Warangal,Warangal,Telangana,principal@kitsw.ac.in,0870-2544989,,
43,University College of Engineering,Warangal,Warangal,Warangal,Telangana,ucew@kakatiya.ac.in,0870-2444441,,
44,Warangal Institute of Technology & Science,Warangal,Warangal,Warangal,Telangana,info@wits.ac.in,0870-2553643,,
45,Institute of Aeronautical Engineering,Hyderabad,Hyderabad,Medchal-Malkajgiri,Telangana,info@iare.ac.in,040-23070779,,
46,Nalla Malla Reddy Engineering College,Hyderabad,Hyderabad,Medchal-Malkajgiri,Telangana,info@nmrec.edu.in,040-64631379,,
47,Birla Institute of Technology & Science,Hyderabad,Hyderabad,Medchal-Malkajgiri,Telangana,admissions@bits-pilani.ac.in,040-23272701,,
48,Vaagdevi Engineering College,Warangal,Warangal,Warangal,Telangana,info@vaagdevi.edu.in,0870-2542196,,
49,Kakatiya Institute of Technology & Science,Warangal,Warangal,Warangal,Telangana,info@kitsw.ac.in,0870-2544989,,
50,CBIT College of Engineering & Technology,Hyderabad,Hyderabad,Telangana,info@cbit.ac.in,040-23042800,,,
51,Vignana Bharathi Institute of Technology,Ghatkesar,Hyderabad,Medchal-Malkajgiri,Telangana,info@vbithyd.ac.in,040-23445678,,
52,KL University,Hyderabad,Hyderabad,Medchal-Malkajgiri,Telangana,info@kluniversity.edu.in,040-23043100,,
53,Sri Krishna Devaraya Engineering College,Kukatpally,Hyderabad,Medchal-Malkajgiri,Telangana,info@skdec.ac.in,040-27688887,,
54,Aurora's Engineering College,Banjara Hills,Hyderabad,Hyderabad,Telangana,info@aurora.ac.in,040-27661611,,
55,Shadan College of Engineering & Technology,Hyderabad,Hyderabad,Hyderabad,Telangana,info@shadancet.ac.in,040-23550765,,
56,Aditya Engineering College,Suryapet,Nalgonda,Telangana,info@aec.ac.in,08682-220255,,,
57,Kothagudem Institute of Technology,Kothagudem,Khammam,Telangana,info@kitk.ac.in,08744-230888,,,
58,Guru Nanak Engineering College,Hyderabad,Hyderabad,Medchal-Malkajgiri,Telangana,info@gnech.ac.in,040-23321130,,
59,Narsimhareddy Engineering College,Hyderabad,Hyderabad,Medchal-Malkajgiri,Telangana,info@nrengineering.ac.in,040-23055171,,
60,Chaitanya Engineering College,Hanumakonda,Warangal,Warangal,Telangana,info@chaitanya.ac.in,0870-2543847,,
61,TRR College of Engineering,Hyderabad,Medchal-Malkajgiri,Telangana,info@trr.edu.in,040-23128901,,,
62,Shree Institute of Engineering & Technology,Warangal,Warangal,Warangal,Telangana,info@siw.ac.in,0870-2561111,,
63,St. Martin's Engineering College,Hyderabad,Medchal-Malkajgiri,Telangana,info@smec.ac.in,040-64541700,,,
64,Sri Indu College of Engineering & Technology,Hyderabad,Medchal-Malkajgiri,Telangana,info@siit.ac.in,040-23044000,,,
65,Hyderabad Institute of Technology and Management,Hyderabad,Hyderabad,Telangana,info@hitm.ac.in,040-24604600,,,
66,Medak Institute of Engineering & Technology,Medak,Medak,Telangana,info@meitech.ac.in,08457-250044,,,
67,Professor Jayashankar Telangana State Agricultural University,Hyderabad,Hyderabad,Telangana,pjtsau@pjtsau.ac.in,040-24556000,,,
68,Chandana College of Engineering,Hyderabad,Medchal-Malkajgiri,Telangana,info@chandanacollege.ac.in,040-23010656,,,
69,Sri Chaitanya Institute of Engineering & Technology,Hyderabad,Medchal-Malkajgiri,Telangana,info@schaitanya.ac.in,040-23461612,,,
70,Sri Sai College of Engineering & Technology,Hyderabad,Medchal-Malkajgiri,Telangana,info@ssce.edu.in,040-23070345,,,
71,Mirza International Institute of Engineering & Technology,Hyderabad,Medchal-Malkajgiri,Telangana,info@mirzainstitute.ac.in,040-23234567,,,
72,Sri Vani School of Engineering & Technology,Hyderabad,Medchal-Malkajgiri,Telangana,srivanitech@vani.ac.in,040-23873717,,,
73,Nizam College of Engineering,Hyderabad,Hyderabad,Telangana,nizamcollege@education.in,040-27673818,,,
74,Teegala Krishna Reddy Engineering College,Hyderabad,Medchal-Malkajgiri,Telangana,info@tkrec.ac.in,040-23056789,,,
75,Vasavi College of Engineering,Hyderabad,Hyderabad,Telangana,vasavi@vasavi.ac.in,040-23146000,,,
76,Hyderabad Institute of Technology & Management,Hyderabad,Hyderabad,Telangana,info@hitm.ac.in,040-24552222,,,
77,Deccan College of Engineering & Technology,Hyderabad,Hyderabad,Telangana,info@deccancet.ac.in,040-23350360,,,
78,University of Hyderabad,Hyderabad,Hyderabad,Telangana,uohyd@uohyd.ac.in,040-23132100,,,
79,Global Institute of Engineering & Technology,Hyderabad,Hyderabad,Telangana,info@globalinstitute.ac.in,040-23001111,,,
80,Institute of Technology & Management,Hyderabad,Hyderabad,Telangana,info@itm.ac.in,040-24721212,,,
