S.No,College Name,Address,City,District,State,Email,Phone No
24,Geeta Junior College,Chilakaluripet,Prakasam,Andhra Pradesh,info@geetajc.edu.in,0868-2445678,
25,Kodandaram Junior College,Thummalagunta,East Godavari,Andhra Pradesh,info@kodandaramjc.in,0884-2304433,
26,Sri Durga Junior College,Gokavaram,East Godavari,Andhra Pradesh,info@durgajc.edu,0884-2309445,
27,Kakatiya Junior College,Nellore,Nellore,Andhra Pradesh,info@kakatiyajc.in,0861-2320195,
28,Vijetha Junior College,Anantapur,Anantapur,Andhra Pradesh,info@vijethajc.com,08554-232134,
29,Oxford Junior College,Visakhapatnam,Visakhapatnam,Andhra Pradesh,oxfordjc@edu.com,0891-2738942,
30,Vidya Junior College,Amalapuram,East Godavari,Andhra Pradesh,info@vidyajc.edu.in,08856-222223,
31,Kendriya Vidyalaya Junior College,Visakhapatnam,Visakhapatnam,Andhra Pradesh,kvjc@edu.in,0891-2567890,
32,St. Theresa Junior College,Kothapeta,Nellore,Prakasam,Andhra Pradesh,sttjcollege@edu.in,0861-2341234
33,Shree Sai Junior College,Kadapa,Kadapa,Andhra Pradesh,info@shreesaijc.com,08562-2345678,
34,Narayana Junior College,Vijayawada,Krishna,Andhra Pradesh,info@narayanajc.edu.in,0866-2420185,
35,Vidya Vikas Junior College,Chittoor,Chittoor,Andhra Pradesh,info@vidyavikasjc.edu.in,0877-2349876,
36,Sri Chaitanya Junior College,Visakhapatnam,Visakhapatnam,Andhra Pradesh,srichaitanya@edu.in,0891-2321345,
37,Indira Junior College,Guntur,Guntur,Andhra Pradesh,indira@juniorcollege.com,0863-2334342,
38,Rama Junior College,Bapatla,Prakasam,Andhra Pradesh,ramajc@edu.in,08643-240561,
39,Ideal Junior College,Chirala,Prakasam,Andhra Pradesh,info@idealjc.edu.in,08642-232410,
40,St. Xavier's Junior College,Visakhapatnam,Visakhapatnam,Andhra Pradesh,info@stxaviersjc.com,0891-2748932,
41,Pragathi Junior College,West Godavari,West Godavari,Andhra Pradesh,info@pragathijc.edu.in,08812-234501,
42,Shree Saraswati Junior College,Nellore,Nellore,Andhra Pradesh,info@shreesaraswatijc.com,0861-2325678,
43,Kakatiya Junior College,Warangal,Warangal,Andhra Pradesh,info@kakatiyajc.in,0870-2544587,
44,Jawahar Junior College,Visakhapatnam,Visakhapatnam,Andhra Pradesh,jawaharjc@edu.com,0891-2721234,
45,St. Joseph's Junior College,Visakhapatnam,Visakhapatnam,Andhra Pradesh,info@stjosephsjc.com,0891-2734645,
46,Sri Rama Junior College,Chittoor,Chittoor,Andhra Pradesh,sriramajc@edu.in,0877-2323232,
47,Anna University Junior College,East Godavari,Kakinada,East Godavari,Andhra Pradesh,info@aujc.edu,0884-2301222
48,Subhash Junior College,Kadapa,Kadapa,Andhra Pradesh,subhash@juniorcollege.edu,08562-234678,
49,Bharathi Junior College,Chittoor,Chittoor,Andhra Pradesh,bharathijc@edu.in,0877-2320101,
50,Institute of Science & Technology Junior College,Visakhapatnam,Visakhapatnam,Andhra Pradesh,info@isthjc.com,0891-2526776,
51,Narayana Junior College,Hyderabad,Hyderabad,Telangana,info@narayanajc.com,040-27256432,
52,Kendriya Vidyalaya Junior College,Hyderabad,Hyderabad,Telangana,kvjc@edu.in,040-23218100,
53,Shree Vani Junior College,Khammam,Khammam,Telangana,info@vani.edu.in,08742-234567,
54,Global Junior College,Warangal,Warangal,Telangana,info@globaljc.edu,0870-2547890,
55,Sri Sai Junior College,Nizamabad,Nizamabad,Telangana,info@saijc.edu,08462-234567,
56,Ravi Shankar Junior College,Karimnagar,Karimnagar,Telangana,info@ravi@jc.edu.in,0878-2340987,
57,Mirza International Junior College,Hyderabad,Hyderabad,Telangana,info@mirzacollege.in,040-23212312,
58,Sri Chaitanya Junior College,Medchal-Malkajgiri,Medchal-Malkajgiri,Telangana,info@srichaitanya.edu,040-23056394,
59,Sri Vidya Junior College,Warangal,Warangal,Telangana,info@vidyajc.edu.in,0870-2501234,
60,Teja Junior College,Hyderabad,Hyderabad,Telangana,info@tejajc.edu.in,040-23645678,
61,Birla Junior College,Hyderabad,Hyderabad,Telangana,info@birlaschool.edu.in,040-27345678,
62,St. Mary's Junior College,Hyderabad,Hyderabad,Telangana,info@stmarys@jc.com,040-23223456,
63,Shree Sai Junior College,Hyderabad,Hyderabad,Telangana,info@saijc.com,040-23768910,
64,Sri Krishna Junior College,Hyderabad,Hyderabad,Telangana,info@krishnajc.edu,040-23567765,
65,Deccan Junior College,Hyderabad,Hyderabad,Telangana,info@deccan.edu.in,040-23450344,
66,Grace Junior College,Hyderabad,Hyderabad,Telangana,info@gracejc.edu,040-27345689,
67,St. Joseph's Junior College,Hyderabad,Hyderabad,Telangana,info@sjc.edu.in,040-23234234,
68,Aditya Junior College,Khammam,Khammam,Telangana,info@adityajc.com,08742-234012,
69,Amity Junior College,Warangal,Warangal,Telangana,info@amityjc.com,0870-2547888,
70,Sri Rama Junior College,Nellore,Nellore,Andhra Pradesh,sriramajc@edu.in,0861-2345678,
71,Shree Durga Junior College,Kothapeta,East Godavari,Andhra Pradesh,info@durgajc.com,0884-2305590,
72,St. Xavier's Junior College,Chirala,West Godavari,Andhra Pradesh,info@stxaviersjc.com,08812-234325,
73,Satya Sai Junior College,Visakhapatnam,Visakhapatnam,Andhra Pradesh,info@ssjc.edu.in,0891-2765678,
74,Sri Sarada Junior College,Prakasam,Prakasam,Andhra Pradesh,info@sarada@jc.com,0868-2440892,
75,Bright Future Junior College,Nellore,Nellore,Andhra Pradesh,info@brightfuturejc.in,0861-2330089,
76,Maulana Azad Junior College,Kadapa,Kadapa,Andhra Pradesh,info@maulanaazad@jc.com,08562-239876,
77,Anand Junior College,Kakinada,East Godavari,Andhra Pradesh,info@anandjc.edu.in,0884-2323456,
78,Mother Teresa Junior College,Visakhapatnam,Visakhapatnam,Andhra Pradesh,info@mtjc.edu.in,0891-2745124,
79,APC Junior College,Kadapa,Kadapa,Andhra Pradesh,apc@juniorcollege.edu,08562-238992,
80,Kartika Junior College,Visakhapatnam,Visakhapatnam,Andhra Pradesh,info@kartikajc.edu.in,0891-2571345,
81,Sri Chaitanya Junior College,Hyderabad,Hyderabad,Telangana,info@srichaitanya.edu,040-27632832,
82,Narayana Junior College,Hyderabad,Hyderabad,Telangana,info@narayanajc.com,040-27647777,
83,St. Mary's Junior College,Hyderabad,Hyderabad,Telangana,info@stmarysjc.edu,040-23223456,
84,Sri Vidya Junior College,Hyderabad,Hyderabad,Telangana,info@vidyajc.edu.in,040-23258976,
85,Birla Junior College,Hyderabad,Hyderabad,Telangana,info@birlaschool.edu.in,040-27345678,
86,Aditya Junior College,Hyderabad,Hyderabad,Telangana,info@adityajc.edu.in,040-23680080,
87,Shree Vani Junior College,Khammam,Khammam,Telangana,info@vani.edu.in,08742-234567,
88,Global Junior College,Warangal,Warangal,Telangana,info@globaljc.edu,0870-2547890,
89,Sri Sai Junior College,Nizamabad,Nizamabad,Telangana,info@saijc.edu,08462-234567,
90,Ravi Shankar Junior College,Karimnagar,Karimnagar,Telangana,info@ravi@jc.edu.in,0878-2340987,
91,Sri Krishna Junior College,Warangal,Warangal,Telangana,info@krishnajc.edu,0870-2545876,
92,Teja Junior College,Hyderabad,Hyderabad,Telangana,info@tejajc.edu.in,040-23645678,
93,St. Xavier's Junior College,Hyderabad,Hyderabad,Telangana,info@stxaviersjc.edu,040-23256789,
94,Sri Durga Junior College,Khammam,Khammam,Telangana,info@durgajc.edu.in,08742-233334,
95,Amity Junior College,Warangal,Warangal,Telangana,info@amityjc.com,0870-2547888,
96,Deccan Junior College,Hyderabad,Hyderabad,Telangana,info@deccan.edu.in,040-23450344,
97,Shree Sai Junior College,Hyderabad,Hyderabad,Telangana,info@saijc.com,040-23768910,
98,Jawahar Junior College,Warangal,Warangal,Telangana,info@jawaharjc.edu,0870-2523457,
99,Sri Chaitanya Junior College,Khammam,Khammam,Telangana,info@chaitanyajc.com,08742-234900,
100,Sri Rama Junior College,Nizamabad,Nizamabad,Telangana,info@sriramajc.com,08462-234987,
101,Narayana Junior College,Karimnagar,Karimnagar,Telangana,info@narayanajc.com,0878-2341234,
102,Sri Vani Junior College,Hyderabad,Hyderabad,Telangana,info@vani.edu.in,040-23213000,
103,Amara Junior College,Khammam,Khammam,Telangana,info@amarajc.edu.in,08742-234010,
104,Aditya Junior College,Karimnagar,Karimnagar,Telangana,info@adityajc.edu.in,0878-2343200,
105,St. Mary's Junior College,Khammam,Khammam,Telangana,info@stmarys@jc.com,08742-234076,
106,Mirza International Junior College,Hyderabad,Hyderabad,Telangana,info@mirzacollege.edu,040-23212312,
107,Sri Krishna Junior College,Hyderabad,Hyderabad,Telangana,info@krishnajc.edu,040-23213445,
108,Sri Chaitanya Junior College,Hyderabad,Hyderabad,Telangana,info@srichaitanyacollege.in,040-27658678,
109,Hyderabad Public School Junior College,Hyderabad,Hyderabad,Telangana,hps@edu.in,040-23223476,
110,Shree Sai Junior College,Warangal,Warangal,Telangana,info@shreesaijc.com,0870-2505000,
111,Global Junior College,Hyderabad,Hyderabad,Telangana,info@globaljc.edu.in,040-27055678,
112,Jawahar Junior College,Karimnagar,Karimnagar,Telangana,info@jawaharjc.edu.in,0878-2345333,
113,Sri Saraswati Junior College,Hyderabad,Hyderabad,Telangana,info@saraswatijc.com,040-27080011,
114,Shree Vani Junior College,Medchal-Malkajgiri,Medchal-Malkajgiri,Telangana,info@vani.edu.in,040-27252800,
115,Narayana Junior College,Nizamabad,Nizamabad,Telangana,info@narayanajc.com,08462-234569,
116,St. Xavier's Junior College,Karimnagar,Karimnagar,Telangana,info@stxaviersjc.com,0878-2345020,
117,Aditya Junior College,Warangal,Warangal,Telangana,info@adityajc.com,0870-2545643,
118,Mirza Junior College,Hyderabad,Hyderabad,Telangana,info@mirzajc.in,040-23457589,
119,Innovative Junior College,Khammam,Khammam,Telangana,info@innovativejc.com,08742-234576,
120,Sri Venkateshwara Junior College,Hyderabad,Hyderabad,Telangana,info@venkateshwarajc.com,040-27254678,
121,Shree Chaitanya Junior College,Hyderabad,Hyderabad,Telangana,info@srichaitanya.edu.in,040-27634321,
122,Aditya Junior College,Khammam,Khammam,Telangana,info@adityajc.edu,08742-234780,
123,Sri Sarada Junior College,Warangal,Warangal,Telangana,info@srisaradacollege.edu,0870-2523433,
124,Andhra Junior College,Hyderabad,Hyderabad,Telangana,info@andhrajc.edu,040-23478823,
125,Shree Krishna Junior College,Karimnagar,Karimnagar,Telangana,info@shreekrishna.edu,0878-2345678,
126,SV Junior College,Hyderabad,Hyderabad,Telangana,info@svjc.edu.in,040-27548921,
127,Sri Rama Junior College,Hyderabad,Hyderabad,Telangana,info@sriramajc.com,040-23658911,
128,Kendriya Vidyalaya Junior College,Hyderabad,Hyderabad,Telangana,kvjc@edu.in,040-23218100,
129,Global Institute Junior College,Warangal,Warangal,Telangana,info@globaljc.edu,0870-2545000,
130,Shree Sai Junior College,Hyderabad,Hyderabad,Telangana,info@saijc.edu,040-23680008,
